Disease,Exercise
Fungal infection,"Light yoga and stretching"
Allergy,"Breathing exercises and gentle walking"
GERD,"Walking after meals, avoid heavy lifting"
Chronic cholestasis,"Gentle yoga and light walking"
Drug Reaction,"Rest and light stretching"
Peptic ulcer disease,"Gentle walking, avoid strenuous activity"
AIDS,"Low-impact aerobics and stretching"
Diabetes,"Brisk walking or cycling"
Gastroenteritis,"Rest, resume light walking after recovery"
Bronchial Asthma,"Breathing exercises, yoga"
Hypertension,"Yoga, brisk walking"
Migraine,"Relaxation exercises, light yoga"
Cervical spondylosis,"Neck stretches, physiotherapy exercises"
Paralysis (brain hemorrhage),"Physiotherapy-guided exercises"
Jaundice,"Gentle walking, avoid strenuous activity"
Malaria,"Rest, light stretching during recovery"
Chicken pox,"Rest, resume light walking after recovery"
Dengue,"Rest, light stretching during recovery"
Typhoid,"Gentle walking after recovery"
hepatitis A,"Gentle walking, avoid heavy exercise"
Hepatitis B,"Gentle yoga and walking"
Hepatitis C,"Gentle yoga and walking"
Hepatitis D,"Gentle yoga and walking"
Hepatitis E,"Gentle yoga and walking"
Alcoholic hepatitis,"Gentle walking, avoid strenuous activity"
Tuberculosis,"Breathing exercises, light walking"
Common Cold,"Rest, light stretching"
Pneumonia,"Breathing exercises, light walking"
Dimorphic hemmorhoids(piles),"Pelvic floor exercises, walking"
Heart attack,"Cardiac rehab exercises, walking"
Varicose veins,"Leg elevation, walking"
Hypothyroidism,"Brisk walking, yoga"
Hyperthyroidism,"Relaxation yoga, light stretching"
Hypoglycemia,"Walking, light aerobics"
Osteoarthristis,"Joint-friendly exercises, swimming"
Arthritis,"Stretching, low-impact aerobics"
(vertigo) Paroymsal Positional Vertigo,"Balance exercises, physiotherapy"
Acne,"General fitness, yoga"
Urinary tract infection,"Walking, light stretching"
Psoriasis,"Yoga, swimming"
Impetigo,"Rest, resume light walking after recovery"
