Symptoms,Disease
"Fever, Cough",Common Cold
"Headache, Fatigue",Migraine
Shortness of breath,Asthma
"Nausea, Vomiting",Gastroenteritis
Sore Throat,Strep Throat
"Joint Pain, Fatigue",Arthritis
"Chest Pain, Dizziness",Hypertension
"Itching, Redness",Allergic Reaction
"Abdominal Pain, Bloating",Indigestion
"Fatigue, Sadness",Major Depressive
,
"Fever, Muscle Aches",Influenza
"Cough, Sneezing",Common Cold
"Nausea, Dizziness",Motion Sickness
Shortness of breath,Chronic Bronchitis
"Headache, Blurred Vision",Migraine
"Stomach Pain, Diarrhea",Gastritis
"Joint Pain, Swelling",Rheumatoid Arthritis
"Fever, Sore Throat",Tonsillitis
"Back Pain, Numbness",Sciatica
"Nausea, Vomiting",Morning Sickness
"Fatigue, Weakness",Iron Deficiency
"Anxiety, Rapid Heartbeat",Panic Disorder
Shortness of breath,Sleep Apnea
"Skin Rash, Itching",Dermatitis
"Cough, Fever",Respiratory infection
"Dizziness, Fatigue",Heat Exhaustion
"Headache, Sensitivity",Tension Headache
"Abdominal Pain, Bloating O",Indigestion
"Nausea, Cramps",Menstrual Cramps
"Chest Pain, Shortness of breath",Coronary ArteryDisease
"Fatigue, Difficulty breathing",Thyroid Disorder
"Fever, Chills",Pneumonia
"Cough, Shortness of breath",COVID-19
"Muscle Pain, Fatigue",Muscle Strain
"Headache, Blurred Vision",Vision Fatigue
"Stomach Pain, Diarrhea",Gastroenteritis
"Back Pain, Numbness",Herniated Disc
"Fatigue, Weakness",Chronic Fatigue Syndrome
"Anxiety, Palpitations",Anxiety Disorder
"Chest Pain, Shortness of breath",Muscle Overuse
"Joint Pain, Swelling",Arthritis
"Joint Pain, Fatigue",s  Arthritis
"Fatigue, Sadness",Major Depressive Disorder
"Cough, Shortness of breat",COVID-19
"Itching, Redness",Allergic Reacti
"Chest Pain, Shortness",Muscle Overuse
of breath,
"Fatigue, Weakness",Chronic Fatigue
,Syndrome
"Joint Pain, Swelling", Arthritis
" Anxiety, Rapid Heartbeat",Panic Disorder
" Skin Rash, Itching",Dermatitis
"Cough, Fever",RespiratoryInfection
"Chest Pain, Shortness of breath",Coronary Artery
"Cough, Shortness of brea",COVID-19
"e Itching, Redness",Allergic Reaction
" Nausea, Vomiting",Gastroenteritis
" Back Pain, Numbness",Herniated Disc
" Fatigue, Weakness",Chronic Fatigue Syndrome
" Anxiety, Palpitations",Anxiety Disorder
"e Joint Pain, Swelling",is  Arthritis
"e Fatigue, Weakness",Chronic Fatigue
"e Cough, Shortness of brea",COVID-19
"e Nausea, Vomiting",Gastroenteritis
"e Back Pain, Numbness",Herniated Disc
"e Anxiety, Palpitations",Anxiety Disorder
"e Joint Pain, Swelling", Arthritis
"e Fatigue, Weakness",Chronic Fatigue Syndrome
"Sore Throat, Cough",Strep Throat
"Cough, Fever",Respiratory Infection
"Chest Pain, Shortness of breath",Coronary Artery Disease
"Cough, Fever",Respiratory
,Infection
"Chest Pain, Shortness",Coronary Artery
of breath,Disease
"Fatigue, Difficulty",Thyroid Disorder
eathing,
"Sore Throat, Cough",Strep Throat     
"Fatigue, Weakness",Iron Deficiency 
"Anxiety, Rapid Heartbeat",Panic Disorder  
Shortness of breath,Sleep Apnea     
"Skin Rash, Itching",Dermatitis      
"Cough, Fever",Respiratory     AntiInfection
"Joint Pain, Fatigue",Arthritis     
"Dizziness, Fatigue",Heat Exhaustion Hydr
"Headache, Sensitivity",Tension Headache Rel
"Abdominal Pain, Bloating",Indigestion     Anta
"Nausea, Cramps",Menstrual Cramps Pai
"Chest Pain, Shortnessof breath",Coronary Artery Disease   
,      
"Fatigue, Difficulty breathing",Disease         
"Fever, Chills",Pheumonia      
"Cough, Shortness of breath",COVID-19      
"Itching, Redness",Allergic Reaction An
"Muscle Pain, Fatigue",Muscle Strain  
"Nausea, Vomiting",Muscle Strain  
"Headache, Blurred Vision",Muscle Strain  
